review,Used it for,Owned for,Ridden for,rating,Visual Appeal,Reliability,Performance,Service Experience,Extra Features,Comfort,Maintenance cost,Value for Money,Model Name
It's amazing bike. all type of service are nice. Look is better then all other bike. Pollution free bike and more grater than petrol bikes. RV400 bike is more Features than other Electric bike. It's key is very good. It's remote control bike.,Daily Commute,Never owned,,5,5,4,5,5,,5,,,Revolt RV 400
"It was easy to buy, Good ridding experience, Nice look, Easy maintenance and low maintenance. It was good buying this bike It is quite powerful for a electric bike Servicing and maintenance is quite easy. Riding experience was quite good. it is comfortable.",Occasional Commute,3-6 months,> 15000 kms,4,4,4,4,4,,4,,,Revolt RV 400
"Buying experience: not great. While booking the bike, the price was 1.38lacs ( on-road price). They called me after 2 months, and when I asked about the manufacture date, they said it's the last year, I refused to take it. Again I got a call in may to make the payment, for which I paid rs. 1.49 lacs. They said: 1 bike chips are in high demand and 2. Bike prices increased. Now the latest price is rs. 1.51 lacs. They even don't offer a glass of water to their customers forget offering tea/coffee. Once you made the payment, they are taking you for granted.
2. Riding experience: this bike is not fit if your height is less than 167cm. The seat is too hard, and the max. Weight it carries 130 kgs. The riding quality is good.
3. Details about looks, performance etc: looks wise it is good, after you purchase the bike, you need to buy an additional stabilizer ( compulsory) which you need to invest around 3k more.
4. Pors and cons: pros it's ev and has smooth riding quality.
Cons: they provide an additional bill, which doesn't have any gst number, it is just about balancing the extra payment you made. You need to pay for every additional screw. Nothing free here.",Daily Commute,> 1 yr,< 5000 kms,3,4,3,4,3,3,,3,,Revolt RV 400
"So here's something to ponder and consider before you make a purchase of the revolt rv 400.
I had the terrible misfortune of having booked and fully paid for the electric bike.
1. For one, the delivery of the bike is delayed and after claiming 100% amounts in advance
2. But, what I found ridiculous is the following facts:
Did you know they try and sell you an insurance cover, which is much higher priced?
Well, they do and so I got my own insurance and they had to minus the amounts, which they would have otherwise charged
Did you know they literally force down your throats a sub-standard helmet, which is much higher priced, than any helmet currently available on the market?
Now here is what baffled me no end!
The director at koramangala, bangalore, tells me that, he will not deliver my bike unless I, either take the revolt sub-standard helmet at a higher price or produce a recent invoice showing the purchase of a helmet.
Anyways, since I did not like or want the revolt helmet, I proceeded to make a purchase of a helmet I liked.
Then I am told that I need to give them a 'printed' tax invoice.
Now the attachment is the tax invoice that the seller was able to generate; but according to him, this won't do.
So when did a start-up brand in India dictate which helmet I need to use?
What happens if someone already has a better helmet. They cannot get the bike?
When was it that, a start-up brand began forcing us customers to buy anything?
This seems unlawful and must be addressed immediately.
Last but not the least, I do believe a brand will achieve far more with someone better equipped and knowledgeable.",Daily Commute,< 3 months,< 5000 kms,1,,,,,,,,,Revolt RV 400
"It is a good performance bike ever in electronic bike or scooty in India. All of things, just about its breaking system, damn cool also speed is perfect. Most popular thing is its three mode system, and also the super bike sound system . Thank you revolt. Its all value of money. Lajwab hai.",Everything,Never owned,,5,5,5,5,,,4,,,Revolt RV 400
"Sales after service are very poor, Many parts are not available in Revolt Showroom, Service associates are helpless and have the same answer that parts are not available every service scheduled. 1st & 2nd service done by giving washing and cleaning by Air compressor only and problem not solved as parts were not available.",Daily Commute,6 months-1 yr,5000-10000 kms,1,2,1,,1,,2,,3,Revolt RV 400
"Details about looks, performance etc is very best,this is low buying bike and best riding bike, this servicing and maintenance is better easy. Pros and cons is better and it's maintenance is very easy. This is one of the most super bike and this bike is very shiny and look is very beautiful ....",Everything,Never owned,,5,4,5,5,5,,4,,,Revolt RV 400
"This bike good for city ride. But this bike have lots of issue like,
1. Remote of the bike haves lot cheap quality it have been replaced twice in a year.
2. Front suspension is very stiff.
3. Service network is worst.
4 . Spare part availability is the biggest issue.
5. Service network is very low.
6. Staff behavior towards customer is very rude.
7. Customer support is very weak.
8. Spare part quality is also not good and there failure ratio is too frequently.",Daily Commute,6 months-1 yr,10000-15000 kms,2,4,3,,1,,3,,3,Revolt RV 400
"Its my dream scooter. I really want to buy it Its environment friendly because it's electric, it's a new launched electric vehicle and it's highly efficient and its looks are quite good and good finish and a nice stylish look and love this scooty and i just want to buy it in the future and i will buy it.",Daily Commute,Never owned,,5,5,5,,5,,5,,5,Bajaj Chetak
93 kms awesome riding experience in one time charge chetak. Awesome looks.Performance wise very high.We will buying for business purposes and my regular workout.Experience good in both working.Battery is almost 97% charge and we will ride 91 to 95 kms so battery life is good .So service and maintenance newer used this bike any time.This is battery operated bike so pollution control and safe environment.So i suggest every person buy this bike.Good buy.,Everything,< 3 months,< 5000 kms,5,5,5,,5,,5,,5,Bajaj Chetak
